date,return,realized_vol,liquidity,inventory
2020-01-01,0.001,0.010,0.8,0.0
2020-01-02,-0.002,0.011,0.7,0.1
2020-01-03,0.0005,0.009,0.9,0.1
2020-01-04,0.0012,0.010,0.85,0.2
2020-01-05,-0.0007,0.012,0.65,0.3
2020-01-06,0.0003,0.011,0.75,0.3
2020-01-07,0.0021,0.013,0.70,0.2
2020-01-08,-0.0015,0.014,0.60,0.1
2020-01-09,0.0002,0.012,0.82,0.1
2020-01-10,0.0017,0.011,0.80,0.0
2020-01-11,-0.0003,0.010,0.78,0.0
2020-01-12,0.0009,0.009,0.77,0.1
2020-01-13,-0.0001,0.010,0.79,0.2
2020-01-14,0.0011,0.011,0.81,0.2
2020-01-15,-0.0008,0.012,0.76,0.1
2020-01-16,0.0004,0.013,0.74,0.0
2020-01-17,0.0010,0.012,0.72,0.0
2020-01-18,-0.0012,0.011,0.71,0.1
2020-01-19,0.0006,0.010,0.69,0.1
2020-01-20,0.0013,0.009,0.68,0.2
2020-01-21,-0.0005,0.010,0.70,0.2
2020-01-22,0.0007,0.011,0.73,0.3
2020-01-23,-0.0010,0.012,0.75,0.3
2020-01-24,0.0008,0.013,0.77,0.2
2020-01-25,0.0015,0.012,0.79,0.2
2020-01-26,-0.0006,0.011,0.80,0.1
2020-01-27,0.0003,0.010,0.82,0.1
2020-01-28,0.0014,0.009,0.83,0.0
2020-01-29,-0.0009,0.010,0.84,0.0
2020-01-30,0.0005,0.011,0.83,0.1
2020-01-31,0.0002,0.012,0.82,0.2
2020-02-01,-0.0004,0.013,0.81,0.2
